obs,sp500,divyld,i3,ip,pcsp,rsp500,pcip,ci3,ci3_1,ci3_2,pcip_1,pcip_2,pcip_3,pcsp_1,pcsp_2,pcsp_3
1948M12,15.19,6.24,1.15,23.4,-7.848297,-1.608297,-10.16953,0.01,0.02,0.03,-15.06272,10.12652,-10.04178,-66.70789,32.74114,-13.55077
1949M01,15.36,6.2,1.16,23.2,13.4299,19.62989,-10.25635,0.01,0.01,0.02,-10.16953,-15.06272,10.12652,-7.848297,-66.70789,32.74114
1949M02,14.77,6.54,1.16,22.9,-46.09369,-39.55369,-15.5173,0,0.01,0.01,-10.25635,-10.16953,-15.06272,13.4299,-7.848297,-66.70789
1949M03,14.91,6.57,1.16,22.5,11.37436,17.94436,-20.96068,0,0,0.01,-15.5173,-10.25635,-10.16953,-46.09369,13.4299,-7.848297
1949M04,14.89,6.65,1.16,22.4,-1.609618,5.040382,-5.333354,0,0,0,-20.96068,-15.5173,-10.25635,11.37436,-46.09369,13.4299
1949M05,14.78,6.72,1.15,22.1,-8.865059,-2.145059,-16.07139,-0.01,0,0,-5.333354,-20.96068,-15.5173,-1.609618,11.37436,-46.09369
1949M06,13.97,7.09,1.16,22,-65.7645,-58.6745,-5.429885,0.01,-0.01,0,-16.07139,-5.333354,-20.96068,-8.865059,-1.609618,11.37436
1949M07,14.76,6.73,0.98,22,67.8597,74.5897,0,-0.18,0.01,-0.01,-5.429885,-16.07139,-5.333354,-65.7645,-8.865059,-1.609618
1949M08,15.29,6.54,1.02,22.2,43.08941,49.62941,10.90913,0.04,-0.18,0.01,0,-5.429885,-16.07139,67.8597,-65.7645,-8.865059
1949M09,15.49,6.36,1.06,22.4,15.69652,22.05652,10.81075,0.04,0.04,-0.18,10.90913,0,-5.429885,43.08941,67.8597,-65.7645
1949M10,15.89,6.26,1.04,21.6,30.98778,37.24778,-42.8571,-0.02,0.04,0.04,10.81075,10.90913,0,15.69652,43.08941,67.8597
1949M11,16.11,6.61,1.06,22.2,16.61424,23.22424,33.33335,0.02,-0.02,0.04,-42.8571,10.81075,10.90913,30.98778,15.69652,43.08941
1949M12,16.54,6.75,1.1,22.6,32.02982,38.77982,21.6216,0.04,0.02,-0.02,33.33335,-42.8571,10.81075,16.61424,30.98778,15.69652
1950M01,16.88,6.65,1.09,22.9,24.66735,31.31734,15.92916,-0.01,0.04,0.02,21.6216,33.33335,-42.8571,32.02982,16.61424,30.98778
1950M02,17.21,6.62,1.13,23,23.45971,30.07971,5.240195,0.04,-0.01,0.04,15.92916,21.6216,33.33335,24.66735,32.02982,16.61424
1950M03,17.35,6.53,1.14,23.8,9.761858,16.29186,41.73909,0.01,0.04,-0.01,5.240195,15.92916,21.6216,23.45971,24.66735,32.02982
1950M04,17.84,6.36,1.16,24.6,33.89047,40.25047,40.33619,0.02,0.01,0.04,41.73909,5.240195,15.92916,9.761858,23.45971,24.66735
1950M05,18.44,6.16,1.17,25.2,40.35877,46.51877,29.26831,0.01,0.02,0.01,40.33619,41.73909,5.240195,33.89047,9.761858,23.45971
1950M06,18.74,6.12,1.17,25.9,19.52273,25.64273,33.33328,0,0.01,0.02,29.26831,40.33619,41.73909,40.35877,33.89047,9.761858
1950M07,17.38,6.63,1.17,26.7,-87.08649,-80.45649,37.06569,0,0,0.01,33.33328,29.26831,40.33619,19.52273,40.35877,33.89047
1950M08,18.43,6.54,1.21,27.6,72.49721,79.03721,40.44942,0.04,0,0,37.06569,33.33328,29.26831,-87.08649,19.52273,40.35877
1950M09,19.08,6.65,1.31,27.4,42.32227,48.97227,-8.695685,0.1,0.04,0,40.44942,37.06569,33.33328,72.49721,-87.08649,19.52273
1950M10,19.87,6.39,1.33,27.6,49.68559,56.07559,8.759157,0.02,0.1,0.04,-8.695685,40.44942,37.06569,42.32227,72.49721,-87.08649
1950M11,19.83,6.97,1.36,27.5,-2.415757,4.554243,-4.347843,0.03,0.02,0.1,8.759157,-8.695685,40.44942,49.68559,42.32227,72.49721
1950M12,19.75,7.24,1.37,28,-4.841145,2.398855,21.81818,0.01,0.03,0.02,-4.347843,8.759157,-8.695685,-2.415757,49.68559,42.32227
1951M01,21.21,6.34,1.39,28.1,88.7088,95.0488,4.28573,0.02,0.01,0.03,21.81818,-4.347843,8.759157,-4.841145,-2.415757,49.68559
1951M02,22,6.2,1.39,28.3,44.69595,50.89595,8.540876,0,0.02,0.01,4.28573,21.81818,-4.347843,88.7088,-4.841145,-2.415757
1951M03,21.63,6.34,1.42,28.4,-20.18186,-13.84186,4.240299,0.03,0,0.02,8.540876,4.28573,21.81818,44.69595,88.7088,-4.841145
1951M04,21.92,6.27,1.52,28.5,16.08882,22.35882,4.225368,0.1,0.03,0,4.240299,8.540876,4.28573,-20.18186,44.69595,88.7088
1951M05,21.93,6.23,1.58,28.4,0.547458,6.777458,-4.210543,0.06,0.1,0.03,4.225368,4.240299,8.540876,16.08882,-20.18186,44.69595
1951M06,21.55,6.3,1.5,28.2,-20.79349,-14.49349,-8.450656,-0.08,0.06,0.1,-4.210543,4.225368,4.240299,0.547458,16.08882,-20.18186
1951M07,21.93,6.25,1.59,27.8,21.16015,27.41015,-17.02134,0.09,-0.08,0.06,-8.450656,-4.210543,4.225368,-20.79349,0.547458,16.08882
1951M08,22.89,5.96,1.64,27.5,52.53073,58.49073,-12.94961,0.05,0.09,-0.08,-17.02134,-8.450656,-4.210543,21.16015,-20.79349,0.547458
1951M09,23.48,5.75,1.65,27.7,30.93055,36.68055,8.727306,0.01,0.05,0.09,-12.94961,-17.02134,-8.450656,52.53073,21.16015,-20.79349
1951M10,23.36,5.77,1.61,27.7,-6.132824,-0.362824,0,-0.04,0.01,0.05,8.727306,-12.94961,-17.02134,30.93055,52.53073,21.16015
1951M11,22.71,6.18,1.61,27.9,-33.39049,-27.21049,8.66421,0,-0.04,0.01,0,8.727306,-12.94961,-6.132824,30.93055,52.53073
1951M12,23.41,5.99,1.73,28.1,36.98815,42.97815,8.602183,0.12,0,-0.04,8.66421,0,8.727306,-33.39049,-6.132824,30.93055
1952M01,24.19,5.82,1.69,28.4,39.98295,45.80295,12.81135,-0.04,0.12,0,8.602183,8.66421,0,36.98815,-33.39049,-6.132824
1952M02,23.75,5.99,1.57,28.5,-21.82723,-15.83723,4.225368,-0.12,-0.04,0.12,12.81135,8.602183,8.66421,39.98295,36.98815,-33.39049
1952M03,23.81,5.94,1.66,28.6,3.031552,8.971552,4.210543,0.09,-0.12,-0.04,4.225368,12.81135,8.602183,-21.82723,39.98295,36.98815
1952M04,23.74,5.96,1.62,28.4,-3.527914,2.432086,-8.39164,-0.04,0.09,-0.12,4.210543,4.225368,12.81135,3.031552,-21.82723,39.98295
1952M05,23.73,5.99,1.71,28.1,-0.505488,5.484512,-12.67602,0.09,-0.04,0.09,-8.39164,4.210543,4.225368,-3.527914,3.031552,-21.82723
1952M06,24.38,5.83,1.7,27.8,32.86977,38.69977,-12.81144,-0.01,0.09,-0.04,-12.67602,-8.39164,4.210543,-0.505488,-3.527914,3.031552
1952M07,25.08,5.65,1.82,27.4,34.45451,40.10451,-17.26617,0.12,-0.01,0.09,-12.81144,-12.67602,-8.39164,32.86977,-0.505488,-3.527914
1952M08,25.18,5.66,1.88,29.2,4.784707,10.44471,78.83217,0.06,0.12,-0.01,-17.26617,-12.81144,-12.67602,34.45451,32.86977,-0.505488
1952M09,24.78,5.74,1.79,30.2,-19.06273,-13.32273,41.09589,-0.09,0.06,0.12,78.83217,-17.26617,-12.81144,4.784707,34.45451,32.86977
1952M10,24.26,5.89,1.78,30.5,-25.18162,-19.29162,11.9205,-0.01,-0.09,0.06,41.09589,78.83217,-17.26617,-19.06273,4.784707,34.45451
1952M11,25.03,5.69,1.86,31.1,38.08741,43.77741,23.60657,0.08,-0.01,-0.09,11.9205,41.09589,78.83217,-25.18162,-19.06273,4.784707
1952M12,26.04,5.47,2.13,31.3,48.42191,53.89191,7.716998,0.27,0.08,-0.01,23.60657,11.9205,41.09589,38.08741,-25.18162,-19.06273
1953M01,26.18,5.45,2.04,31.4,6.451585,11.90158,3.83388,-0.09,0.27,0.08,7.716998,23.60657,11.9205,48.42191,38.08741,-25.18162
1953M02,25.86,5.52,2.02,31.6,-14.66767,-9.147671,7.643342,-0.02,-0.09,0.27,3.83388,7.716998,23.60657,6.451585,48.42191,38.08741
1953M03,25.99,5.48,2.08,31.8,6.032443,11.51244,7.594893,0.06,-0.02,-0.09,7.643342,3.83388,7.716998,-14.66767,6.451585,48.42191
1953M04,24.71,5.75,2.18,32,-59.09969,-53.34969,7.547199,0.1,0.06,-0.02,7.594893,7.643342,3.83388,6.032443,-14.66767,6.451585
1953M05,24.84,5.77,2.2,32.2,6.313286,12.08329,7.500029,0.02,0.1,0.06,7.547199,7.594893,7.643342,-59.09969,6.032443,-14.66767
1953M06,23.95,5.99,2.23,32,-42.99514,-37.00514,-7.453444,0.03,0.02,0.1,7.500029,7.547199,7.594893,6.313286,-59.09969,6.032443
1953M07,24.29,5.9,2.1,32.4,17.0355,22.9355,15.00006,-0.13,0.03,0.02,-7.453444,7.500029,7.547199,-42.99514,6.313286,-59.09969
1953M08,24.39,5.87,2.09,32.2,4.940229,10.81023,-7.407435,-0.01,-0.13,0.03,15.00006,-7.453444,7.500029,17.0355,-42.99514,6.313286
1953M09,23.27,6.14,1.88,31.6,-55.1045,-48.9645,-22.36026,-0.21,-0.01,-0.13,-7.407435,15.00006,-7.453444,4.940229,17.0355,-42.99514
1953M10,23.97,5.99,1.4,31.3,36.09792,42.08792,-11.39245,-0.48,-0.21,-0.01,-22.36026,-7.407435,15.00006,-55.1045,4.940229,17.0355
1953M11,24.5,5.92,1.43,30.6,26.5332,32.4532,-26.83702,0.03,-0.48,-0.21,-11.39245,-22.36026,-7.407435,36.09792,-55.1045,4.940229
1953M12,24.83,5.83,1.63,29.8,16.16326,21.99326,-31.37259,0.2,0.03,-0.48,-26.83702,-11.39245,-22.36026,26.5332,36.09792,-55.1045
1954M01,25.46,5.69,1.21,29.6,30.447,36.137,-8.053645,-0.42,0.2,0.03,-31.37259,-26.83702,-11.39245,16.16326,26.5332,36.09792
1954M02,26.02,5.62,0.98,29.7,26.39441,32.01441,4.05407,-0.23,-0.42,0.2,-8.053645,-31.37259,-26.83702,30.447,16.16326,26.5332
1954M03,26.57,5.46,1.05,29.5,25.36507,30.82507,-8.080838,0.07,-0.23,-0.42,4.05407,-8.053645,-31.37259,26.39441,30.447,16.16326
1954M04,27.63,5.24,1.01,29.3,47.87352,53.11352,-8.135624,-0.04,0.07,-0.23,-8.080838,4.05407,-8.053645,25.36507,26.39441,30.447
1954M05,28.73,5.02,0.78,29.5,47.77418,52.79418,8.191158,-0.23,-0.04,0.07,-8.135624,-8.080838,4.05407,47.87352,25.36507,26.39441
1954M06,28.96,4.99,0.65,29.6,9.606665,14.59666,4.067812,-0.13,-0.23,-0.04,8.191158,-8.135624,-8.080838,47.77418,47.87352,25.36507
1954M07,30.13,4.77,0.71,29.6,48.48067,53.25067,0,0.06,-0.13,-0.23,4.067812,8.191158,-8.135624,9.606665,47.77418,47.87352
1954M08,30.73,4.63,0.89,29.6,23.89646,28.52646,0,0.18,0.06,-0.13,0,4.067812,8.191158,48.48067,9.606665,47.77418
1954M09,31.45,4.57,1.01,29.6,28.1159,32.6859,0,0.12,0.18,0.06,0,0,4.067812,23.89646,48.48067,9.606665
1954M10,32.18,4.43,0.99,30,27.85372,32.28372,16.2162,-0.02,0.12,0.18,0,0,0,28.1159,23.89646,48.48067
1954M11,33.44,4.52,0.95,30.5,46.98564,51.50564,20,-0.04,-0.02,0.12,16.2162,0,0,27.85372,28.1159,23.89646
1954M12,34.97,4.45,1.17,30.9,54.9044,59.3544,15.73769,0.22,-0.04,-0.02,20,16.2162,0,46.98564,27.85372,28.1159
1955M01,35.6,4.38,1.26,31.6,21.61843,25.99844,27.1845,0.09,0.22,-0.04,15.73769,20,16.2162,54.9044,46.98564,27.85372
1955M02,36.79,4.32,1.18,32,40.11244,44.43244,15.18986,-0.08,0.09,0.22,27.1845,15.73769,20,21.61843,54.9044,46.98564
1955M03,36.5,4.33,1.33,32.7,-9.459122,-5.129122,26.25003,0.15,-0.08,0.09,15.18986,27.1845,15.73769,40.11244,21.61843,54.9044
1955M04,37.76,4.19,1.62,33.1,41.4246,45.6146,14.67881,0.29,0.15,-0.08,26.25003,15.18986,27.1845,-9.459122,40.11244,21.61843
1955M05,37.6,4.23,1.49,33.7,-5.084741,-0.854741,21.75235,-0.13,0.29,0.15,14.67881,26.25003,15.18986,41.4246,-9.459122,40.11244
1955M06,39.78,4.01,1.43,33.7,69.57448,73.58448,0,-0.06,-0.13,0.29,21.75235,14.67881,26.25003,-5.084741,41.4246,-9.459122
1955M07,42.69,3.72,1.62,34,87.78281,91.50281,10.68247,0.19,-0.06,-0.13,0,21.75235,14.67881,69.57448,-5.084741,41.4246
1955M08,42.43,3.87,1.88,33.9,-7.308456,-3.438456,-3.529358,0.26,0.19,-0.06,10.68247,0,21.75235,87.78281,69.57448,-5.084741
1955M09,44.34,3.72,2.09,34.1,54.01838,57.73838,7.079537,0.21,0.26,0.19,-3.529358,10.68247,0,-7.308456,87.78281,69.57448
1955M10,42.11,3.94,2.26,34.7,-60.35181,-56.41182,21.11445,0.17,0.21,0.26,7.079537,-3.529358,10.68247,54.01838,-7.308456,87.78281
1955M11,44.95,4.05,2.23,34.8,80.9309,84.9809,3.45816,-0.03,0.17,0.21,21.11445,7.079537,-3.529358,-60.35181,54.01838,-7.308456
1955M12,45.37,4.15,2.56,34.9,11.21241,15.36241,3.448355,0.33,-0.03,0.17,3.45816,21.11445,7.079537,80.9309,-60.35181,54.01838
1956M01,44.15,4.24,2.46,35.1,-32.26795,-28.02795,6.876685,-0.1,0.33,-0.03,3.448355,3.45816,21.11445,11.21241,80.9309,-60.35181
1956M02,44.43,4.24,2.37,34.8,7.610385,11.85039,-10.25638,-0.09,-0.1,0.33,6.876685,3.448355,3.45816,-32.26795,11.21241,80.9309
1956M03,47.49,3.97,2.31,34.8,82.6469,86.6169,0,-0.06,-0.09,-0.1,-10.25638,6.876685,3.448355,7.610385,-32.26795,11.21241
1956M04,48.05,3.94,2.61,35.1,14.15028,18.09028,10.3448,0.3,-0.06,-0.09,0,-10.25638,6.876685,82.6469,7.610385,-32.26795
1956M05,46.54,4.09,2.65,34.8,-37.71068,-33.62068,-10.25638,0.04,0.3,-0.06,10.3448,0,-10.25638,14.15028,82.6469,7.610385
1956M06,46.27,4.09,2.53,34.5,-6.961765,-2.871765,-10.3448,-0.12,0.04,0.3,-10.25638,10.3448,0,-37.71068,14.15028,82.6469
1956M07,48.78,3.89,2.33,33.4,65.09613,68.98613,-38.26082,-0.2,-0.12,0.04,-10.3448,-10.25638,10.3448,-6.961765,-37.71068,14.15028
1956M08,48.49,3.92,2.61,34.8,-7.134,-3.214,50.29932,0.28,-0.2,-0.12,-38.26082,-10.3448,-10.25638,65.09613,-6.961765,-37.71068
1956M09,46.84,4.07,2.85,35.6,-40.8332,-36.7632,27.58618,0.24,0.28,-0.2,50.29932,-38.26082,-10.3448,-7.134,65.09613,-6.961765
1956M10,46.24,4.12,2.96,35.9,-15.37144,-11.25144,10.11246,0.11,0.24,0.28,27.58618,50.29932,-38.26082,-40.8332,-7.134,65.09613
1956M11,45.76,4.27,3,35.6,-12.45683,-8.186834,-10.02796,0.04,0.11,0.24,10.11246,27.58618,50.29932,-15.37144,-40.8332,-7.134
1956M12,46.44,4.24,3.23,36.1,17.83218,22.07218,16.85393,0.23,0.04,0.11,-10.02796,10.11246,27.58618,-12.45683,-15.37144,-40.8332
1957M01,45.43,4.31,3.21,36,-26.09815,-21.78815,-3.324049,-0.02,0.23,0.04,16.85393,-10.02796,10.11246,17.83218,-12.45683,-15.37144
1957M02,43.47,4.54,3.17,36.3,-51.77193,-47.23193,9.999975,-0.04,-0.02,0.23,-3.324049,16.85393,-10.02796,-26.09815,17.83218,-12.45683
1957M03,44.03,4.47,3.14,36.3,15.45887,19.92887,0,-0.03,-0.04,-0.02,9.999975,-3.324049,16.85393,-51.77193,-26.09815,17.83218
1957M04,45.05,4.36,3.11,35.8,27.79924,32.15924,-16.52893,-0.03,-0.03,-0.04,0,9.999975,-3.324049,15.45887,-51.77193,-26.09815
1957M05,46.78,4.18,3.04,35.7,46.08212,50.26212,-3.351904,-0.07,-0.03,-0.03,-16.52893,0,9.999975,27.79924,15.45887,-51.77193
1957M06,47.55,4.04,3.32,35.8,19.75204,23.79204,3.361293,0.28,-0.07,-0.03,-3.351904,-16.52893,0,46.08212,27.79924,15.45887
1957M07,48.51,3.95,3.17,36,24.22711,28.17711,6.703936,-0.15,0.28,-0.07,3.361293,-3.351904,-16.52893,19.75204,46.08212,27.79924
1957M08,45.84,4.17,3.4,36,-66.04819,-61.8782,0,0.23,-0.15,0.28,6.703936,3.361293,-3.351904,24.22711,19.75204,46.08212
1957M09,43.98,4.31,3.58,35.7,-48.69112,-44.38111,-9.999975,0.18,0.23,-0.15,0,6.703936,3.361293,-66.04819,24.22711,19.75204
1957M10,41.24,4.54,3.59,35.1,-74.7612,-70.2212,-20.16814,0.01,0.18,0.23,-9.999975,0,6.703936,-48.69112,-66.04819,24.22711
1957M11,40.35,4.67,3.34,34.3,-25.89728,-21.22728,-27.3504,-0.25,0.01,0.18,-20.16814,-9.999975,0,-74.7612,-48.69112,-66.04819
1957M12,40.33,4.64,3.1,33.7,-0.594696,4.045304,-20.9912,-0.24,-0.25,0.01,-27.3504,-20.16814,-9.999975,-25.89728,-74.7612,-48.69112
1958M01,41.12,4.48,2.6,33,23.50599,27.98599,-24.92584,-0.5,-0.24,-0.25,-20.9912,-27.3504,-20.16814,-0.594696,-25.89728,-74.7612
1958M02,41.26,4.47,1.56,32.3,4.085586,8.555586,-25.45457,-1.04,-0.5,-0.24,-24.92584,-20.9912,-27.3504,23.50599,-0.594696,-25.89728
1958M03,42.11,4.37,1.35,31.9,24.72135,29.09135,-14.86067,-0.21,-1.04,-0.5,-25.45457,-24.92584,-20.9912,4.085586,23.50599,-0.594696
1958M04,42.34,4.33,1.13,31.4,6.55425,10.88425,-18.80878,-0.22,-0.21,-1.04,-14.86067,-25.45457,-24.92584,24.72135,4.085586,23.50599
1958M05,43.7,4.19,1.05,31.7,38.54513,42.73513,11.46501,-0.08,-0.22,-0.21,-18.80878,-14.86067,-25.45457,6.55425,24.72135,4.085586
1958M06,44.75,4.08,0.88,32.6,28.83293,32.91293,34.06931,-0.17,-0.08,-0.22,11.46501,-18.80878,-14.86067,38.54513,6.55425,24.72135
1958M07,45.98,3.98,0.96,33,32.98323,36.96323,14.72398,0.08,-0.17,-0.08,34.06931,11.46501,-18.80878,28.83293,38.54513,6.55425
1958M08,47.7,3.78,1.69,33.7,44.88911,48.66911,25.45457,0.73,0.08,-0.17,14.72398,34.06931,11.46501,32.98323,28.83293,38.54513
1958M09,48.96,3.69,2.48,34,31.69807,35.38807,10.68247,0.79,0.73,0.08,25.45457,14.72398,34.06931,44.88911,32.98323,28.83293
1958M10,50.95,3.54,2.79,34.4,48.77455,52.31455,14.1177,0.31,0.79,0.73,10.68247,25.45457,14.72398,31.69807,44.88911,32.98323
1958M11,52.5,3.42,2.76,35.4,36.50636,39.92636,34.88372,-0.03,0.31,0.79,14.1177,10.68247,25.45457,48.77455,31.69807,44.88911
1958M12,53.49,3.33,2.81,35.5,22.62861,25.95861,3.389779,0.05,-0.03,0.31,34.88372,14.1177,10.68247,36.50636,48.77455,31.69807
1959M01,55.62,3.24,2.84,36,47.78457,51.02457,16.90141,0.03,0.05,-0.03,3.389779,34.88372,14.1177,22.62861,36.50636,48.77455
1959M02,54.77,3.32,2.71,36.7,-18.3387,-15.0187,23.33336,-0.13,0.03,0.05,16.90141,3.389779,34.88372,47.78457,22.62861,36.50636
1959M03,56.15,3.25,2.85,37.2,30.23555,33.48555,16.34877,0.14,-0.13,0.03,23.33336,16.90141,3.389779,-18.3387,47.78457,22.62861
1959M04,57.1,3.26,2.96,38,20.30269,23.56269,25.80643,0.11,0.14,-0.13,16.34877,23.33336,16.90141,30.23555,-18.3387,47.78457
1959M05,57.96,3.21,2.85,38.6,18.07357,21.28357,18.94732,-0.11,0.11,0.14,25.80643,16.34877,23.33336,20.30269,30.23555,-18.3387
1959M06,57.46,3.23,3.25,38.6,-10.35197,-7.121967,0,0.4,-0.11,0.11,18.94732,25.80643,16.34877,18.07357,20.30269,30.23555
1959M07,59.74,3.11,3.24,37.7,47.61579,50.72579,-27.97921,-0.01,0.4,-0.11,0,18.94732,25.80643,-10.35197,18.07357,20.30269
1959M08,59.4,3.14,3.36,36.4,-6.829598,-3.689598,-41.37928,0.12,-0.01,0.4,-27.97921,0,18.94732,47.61579,-10.35197,18.07357
1959M09,57.05,3.26,4,36.4,-47.47479,-44.21479,0,0.64,0.12,-0.01,-41.37928,-27.97921,0,-6.829598,47.61579,-10.35197
1959M10,57,3.26,4.12,36.1,-1.051693,2.208307,-9.89021,0.12,0.64,0.12,0,-41.37928,-27.97921,-47.47479,-6.829598,47.61579
1959M11,57.23,3.24,4.21,36.3,4.842096,8.082096,6.648225,0.09,0.12,0.64,-9.89021,0,-41.37928,-1.051693,-47.47479,-6.829598
1959M12,59.06,3.18,4.57,38.6,38.37152,41.55152,76.03304,0.36,0.09,0.12,6.648225,-9.89021,0,4.842096,-1.051693,-47.47479
1960M01,58.03,3.27,4.44,39.6,-20.92792,-17.65792,31.08809,-0.13,0.36,0.09,76.03304,6.648225,-9.89021,38.37152,4.842096,-1.051693
1960M02,55.78,3.44,3.95,39.2,-46.52766,-43.08766,-12.12114,-0.49,-0.13,0.36,31.08809,76.03304,6.648225,-20.92792,38.37152,4.842096
1960M03,55.02,3.51,3.44,38.9,-16.34991,-12.83991,-9.18365,-0.51,-0.49,-0.13,-12.12114,31.08809,76.03304,-46.52766,-20.92792,38.37152
1960M04,55.73,3.47,3.24,38.6,15.48526,18.95526,-9.254593,-0.2,-0.51,-0.49,-9.18365,-12.12114,31.08809,-16.34991,-46.52766,-20.92792
1960M05,55.22,3.51,3.39,38.5,-10.98148,-7.471482,-3.108761,0.15,-0.2,-0.51,-9.254593,-9.18365,-12.12114,15.48526,-16.34991,-46.52766
1960M06,57.26,3.4,2.64,38.1,44.3317,47.7317,-12.46758,-0.75,0.15,-0.2,-3.108761,-9.254593,-9.18365,-10.98148,15.48526,-16.34991
1960M07,55.84,3.49,2.4,37.9,-29.75896,-26.26896,-6.299117,-0.24,-0.75,0.15,-12.46758,-3.108761,-9.254593,44.3317,-10.98148,15.48526
1960M08,56.51,3.43,2.29,37.9,14.39824,17.82824,0,-0.11,-0.24,-0.75,-6.299117,-12.46758,-3.108761,-29.75896,44.3317,-10.98148
1960M09,54.81,3.55,2.49,37.5,-36.09974,-32.54974,-12.66496,0.2,-0.11,-0.24,0,-6.299117,-12.46758,14.39824,-29.75896,44.3317
1960M10,53.73,3.6,2.43,37.4,-23.64536,-20.04536,-3.199951,-0.06,0.2,-0.11,-12.66496,0,-6.299117,-36.09974,14.39824,-29.75896
1960M11,55.47,3.51,2.38,36.9,38.86101,42.37101,-16.04278,-0.05,-0.06,0.2,-3.199951,-12.66496,0,-23.64536,-36.09974,14.39824
1960M12,56.8,3.41,2.27,36.2,28.77227,32.18227,-22.76425,-0.11,-0.05,-0.06,-16.04278,-3.199951,-12.66496,38.86101,-23.64536,-36.09974
1961M01,59.72,3.28,2.3,36.3,61.69019,64.97018,3.314866,0.03,-0.11,-0.05,-22.76425,-16.04278,-3.199951,28.77227,38.86101,-23.64536
1961M02,62.17,3.13,2.41,36.2,49.22968,52.35968,-3.305735,0.11,0.03,-0.11,3.314866,-22.76425,-16.04278,61.69019,28.77227,38.86101
1961M03,64.12,3.03,2.42,36.4,37.63882,40.66882,6.629859,0.01,0.11,0.03,-3.305735,3.314866,-22.76425,49.22968,61.69019,28.77227
1961M04,65.83,2.95,2.33,37.2,32.00248,34.95248,26.3736,-0.09,0.01,0.11,6.629859,-3.305735,3.314866,37.63882,49.22968,61.69019
1961M05,66.5,2.92,2.29,37.7,12.21324,15.13324,16.12903,-0.04,-0.09,0.01,26.3736,6.629859,-3.305735,32.00248,37.63882,49.22968
